Person,Born,Died,Parent,Order
King George VI,14/12/1895,6/2/1952,,
Queen Elizabeth II,21/04/1926,,King George VI,1
Prince Charles,14/11/1948,,Queen Elizabeth II,1
Princess Anne,15/08/1950,,Queen Elizabeth II,4
Prince Andrew,19/02/1960,,Queen Elizabeth II,2
Prince Edward,10/03/1964,,Queen Elizabeth II,3
Peter Phillips,15/11/1977,,Princess Anne,1
Zara Tindall,15/05/1981,,Princess Anne,2
Prince William,21/06/1982,,Prince Charles,1
Prince Henry,15/09/1984,,Prince Charles,2
Princess Beatrice,08/08/1988,,Prince Andrew,1
Princess Eugenie,23/03/1990,,Prince Andrew,2
Lady Louise Windsor,08/11/2003,,Prince Edward,2
"James, Viscount Severn",17/12/2007,,Prince Edward,1
Savannah Phillips,29/12/2010,,Peter Phillips,1
Isla Phillips,29/03/2012,,Peter Phillips,2
Prince George,22/07/2013,,Prince William,1
Mia Tindall,17/01/2014,,Zara Tindall,1
Princess Charlotte,02/05/2015,,Prince William,2
Princess Margaret,21/08/1930,9/2/2002,King George VI,2
